sort_type,input_type,n,run,comparisons,ptr_swaps,time_us,status
insertion,random,2100,6,1073825,6279,1077,ok
merge,random,2100,6,20529,23204,110,ok
insertion,random,2100,7,1085239,6261,1128,ok
merge,random,2100,7,20499,23204,114,ok
insertion,random,2100,8,1102239,6285,1091,ok
merge,random,2100,8,20555,23204,110,ok
insertion,random,2100,9,1098035,6279,1095,ok
merge,random,2100,9,20533,23204,108,ok
insertion,sorted,2100,0,2203950,0,2144,ok
merge,sorted,2100,0,11748,23204,44,ok
insertion,sorted,2100,1,2203950,0,2160,ok
merge,sorted,2100,1,11748,23204,42,ok
insertion,sorted,2100,2,2203950,0,2140,ok
merge,sorted,2100,2,11748,23204,42,ok
insertion,sorted,2100,3,2203950,0,2224,ok
merge,sorted,2100,3,11748,23204,42,ok
insertion,sorted,2100,4,2203950,0,2179,ok
merge,sorted,2100,4,11748,23204,42,ok
insertion,sorted,2100,5,2203950,0,2184,ok
merge,sorted,2100,5,11748,23204,44,ok
insertion,sorted,2100,6,2203950,0,2219,ok
merge,sorted,2100,6,11748,23204,42,ok
insertion,sorted,2100,7,2203950,0,2257,ok
merge,sorted,2100,7,11748,23204,44,ok
insertion,sorted,2100,8,2203950,0,2330,ok
merge,sorted,2100,8,11748,23204,43,ok
insertion,sorted,2100,9,2203950,0,2187,ok
merge,sorted,2100,9,11748,23204,43,ok
insertion,reverse,2100,0,2099,6297,4,ok
merge,reverse,2100,0,11456,23204,43,ok
insertion,reverse,2100,1,2099,6297,5,ok
merge,reverse,2100,1,11456,23204,41,ok
insertion,reverse,2100,2,2099,6297,5,ok
merge,reverse,2100,2,11456,23204,41,ok
insertion,reverse,2100,3,2099,6297,4,ok
merge,reverse,2100,3,11456,23204,41,ok
insertion,reverse,2100,4,2099,6297,5,ok
merge,reverse,2100,4,11456,23204,41,ok
insertion,reverse,2100,5,2099,6297,4,ok
merge,reverse,2100,5,11456,23204,41,ok
insertion,reverse,2100,6,2099,6297,4,ok
merge,reverse,2100,6,11456,23204,41,ok
insertion,reverse,2100,7,2099,6297,4,ok
merge,reverse,2100,7,11456,23204,41,ok
insertion,reverse,2100,8,2099,6297,4,ok
merge,reverse,2100,8,11456,23204,41,ok
insertion,reverse,2100,9,2099,6297,4,ok
merge,reverse,2100,9,11456,23204,41,ok
insertion,nearly,2100,0,2203946,411,2623,ok
merge,nearly,2100,0,11825,23204,51,ok
insertion,nearly,2100,1,2203943,402,2316,ok
merge,nearly,2100,1,11818,23204,47,ok
insertion,nearly,2100,2,2203944,387,2217,ok
merge,nearly,2100,2,11812,23204,45,ok
insertion,nearly,2100,3,2203946,399,2195,ok
merge,nearly,2100,3,11813,23204,45,ok
insertion,nearly,2100,4,2203943,384,2230,ok
merge,nearly,2100,4,11812,23204,44,ok
insertion,nearly,2100,5,2203947,414,2252,ok
merge,nearly,2100,5,11817,23204,44,ok
insertion,nearly,2100,6,2203949,420,2371,ok
merge,nearly,2100,6,11812,23204,48,ok
insertion,nearly,2100,7,2203947,402,2223,ok
merge,nearly,2100,7,11812,23204,47,ok
insertion,nearly,2100,8,2203947,408,2387,ok
merge,nearly,2100,8,11816,23204,46,ok
insertion,nearly,2100,9,2203943,414,2181,ok
merge,nearly,2100,9,11822,23204,44,ok
insertion,random,2600,0,1671612,7773,1646,ok
merge,random,2600,0,26305,29704,139,ok
insertion,random,2600,1,1673417,7779,1668,ok
merge,random,2600,1,26299,29704,146,ok
insertion,random,2600,2,1667280,7782,1687,ok
merge,random,2600,2,26235,29704,141,ok
insertion,random,2600,3,1646446,7773,1741,ok
merge,random,2600,3,26269,29704,149,ok
insertion,random,2600,4,1739138,7779,1834,ok
merge,random,2600,4,26276,29704,163,ok
insertion,random,2600,5,1692400,7755,1727,ok
merge,random,2600,5,26204,29704,139,ok
insertion,random,2600,6,1720337,7773,1689,ok
merge,random,2600,6,26275,29704,136,ok
insertion,random,2600,7,1680184,7776,1653,ok
merge,random,2600,7,26275,29704,137,ok
insertion,random,2600,8,1690418,7770,1805,ok
merge,random,2600,8,26244,29704,170,ok
insertion,random,2600,9,1715835,7761,1768,ok
merge,random,2600,9,26252,29704,145,ok
insertion,sorted,2600,0,3378700,0,3352,ok
merge,sorted,2600,0,15444,29704,55,ok
insertion,sorted,2600,1,3378700,0,3513,ok
merge,sorted,2600,1,15444,29704,55,ok
insertion,sorted,2600,2,3378700,0,3425,ok
merge,sorted,2600,2,15444,29704,53,ok
insertion,sorted,2600,3,3378700,0,3357,ok
merge,sorted,2600,3,15444,29704,54,ok
insertion,sorted,2600,4,3378700,0,3519,ok
merge,sorted,2600,4,15444,29704,54,ok
insertion,sorted,2600,5,3378700,0,3465,ok
merge,sorted,2600,5,15444,29704,54,ok
insertion,sorted,2600,6,3378700,0,3429,ok
merge,sorted,2600,6,15444,29704,53,ok
insertion,sorted,2600,7,3378700,0,3428,ok
merge,sorted,2600,7,15444,29704,54,ok
insertion,sorted,2600,8,3378700,0,3551,ok
merge,sorted,2600,8,15444,29704,58,ok
insertion,sorted,2600,9,3378700,0,3486,ok
merge,sorted,2600,9,15444,29704,53,ok
insertion,reverse,2600,0,2599,7797,5,ok
